Inference for Bugs model at "curtis_ghosh_example.jags", fit using jags,
 4 chains, each with 6000 iterations (first 1000 discarded), n.thin = 5
 n.sims = 4000 iterations saved
          mu.vect sd.vect   2.5%    25%    50%    75%  97.5%  Rhat n.eff
theta[14]  -0.323   1.466 -2.228 -1.564 -0.419   0.926   2.273  1.548     8
xi[1]      -1.422   0.922 -2.325 -2.096 -2.022  -0.453  -0.068  1.433     9
xi[2]      -1.922   1.741 -4.849 -2.634 -1.891  -1.442   2.396  1.067    40
xi[3]      -1.679   1.504 -5.358 -2.485 -1.494  -0.945   0.662  1.036    40
xi[4]      -1.717   1.535 -4.347 -2.461 -1.870  -1.014   1.373  1.133    23
xi[5]      -1.100   1.737 -5.179 -2.059 -0.983   0.025   2.503  0.999    40
xi[6]      -1.395   1.521 -5.860 -1.839 -1.329  -0.477   0.741  1.061    40
xi[7]      -1.043   1.764 -3.739 -1.993 -1.249  -0.465   2.642  1.204    22
xi[8]      -1.325   1.739 -4.426 -2.166 -1.340  -0.635   2.868  1.074    40
xi[9]      -1.042   1.572 -4.587 -1.828 -1.202  -0.069   2.158  1.041    40
xi[10]     -0.793   1.577 -4.013 -1.423 -0.931  -0.020   1.814  1.071    40
xi[11]     -0.752   1.787 -4.698 -1.761 -1.039   0.789   1.781  1.079    40
xi[12]     -0.434   1.723 -3.225 -1.265 -0.742   0.329   4.528  1.326    13
xi[13]     -0.780   2.132 -4.624 -2.009 -0.654   0.328   3.310  1.070    40
xi[14]     -0.344   1.657 -2.839 -1.347 -0.344   0.315   2.073  1.123    33
xi[15]     -0.710   1.493 -3.416 -1.271 -0.587   0.110   2.431  1.074    31
xi[16]      0.089   1.375 -2.168 -0.719 -0.028   0.752   2.573  1.131    25
xi[17]     -0.242   1.937 -3.868 -0.868 -0.508   0.734   3.535  1.068    40
xi[18]     -0.150   1.378 -2.248 -0.996 -0.496   0.361   2.773  1.028    40
xi[19]      0.034   1.317 -1.899 -0.767 -0.094   0.921   3.123  1.052    40
xi[20]     -0.312   1.709 -3.671 -0.655 -0.193   0.590   2.180  1.156    33
xi[21]      0.309   1.337 -1.338 -0.510  0.426   0.982   2.063  1.088    40
xi[22]      0.286   1.605 -3.115 -0.486  0.264   1.050   3.435  1.048    40
xi[23]      0.201   1.422 -3.138 -0.246  0.264   0.932   2.083  1.107    40
xi[24]      0.109   1.505 -2.599 -0.712  0.400   1.219   2.328  1.092    40
xi[25]      0.706   1.277 -1.226  0.033  0.537   1.099   3.490  1.006    40
xi[26]      0.368   1.778 -3.399 -0.557  0.387   1.254   3.935  1.058    40
xi[27]      1.341   1.586 -1.960  0.363  1.134   2.468   4.572  1.065    32
xi[28]      0.701   1.725 -2.962 -0.137  0.749   1.760   3.574  1.073    40
xi[29]      0.753   1.836 -3.016  0.088  0.905   1.703   3.763  1.035    40
xi[30]      1.160   1.414 -1.513  0.460  1.345   1.589   4.469  1.110    35
xi[31]      1.225   1.318 -1.389  0.543  1.253   1.863   3.780  1.088    40
xi[32]      1.505   1.637 -2.183  0.759  1.676   2.270   4.030  1.047    40
xi[33]      1.803   1.786 -1.099  0.968  1.476   2.706   5.110  1.076    40
xi[34]      1.261   1.691 -1.487  0.191  1.190   2.022   5.048  1.085    40
xi[35]      1.988   1.989 -1.555  1.041  1.764   2.595   7.252  1.092    35
xi[36]      1.424   1.481 -1.607  0.588  1.715   2.352   3.868  1.056    40
xi[37]      2.025   1.473 -0.961  1.503  1.860   2.714   5.101  1.100    40
xi[38]      1.904   2.158 -2.709  1.370  1.805   2.474   5.750  1.162    22
xi[39]      2.017   1.514 -0.425  1.371  2.034   2.649   4.994  1.094    40
deviance   82.372  42.983 37.760 42.952 67.800 132.671 134.583  2.705     5

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 266.6 and DIC = 349.0
DIC is an estimate of expected predictive error (lower deviance is better).



Inference for Bugs model at "curtis_ghosh_ordered.jags", fit using jags,
 4 chains, each with 60 iterations (first 10 discarded), n.thin = 5
 n.sims = 40 iterations saved
          mu.vect sd.vect   2.5%    25%    50%     75%   97.5%    Rhat n.eff
S[1]       20.100   7.299  8.000 17.000 24.000  25.000  26.000  23.798     4
S[2]       12.675   9.073  1.000  6.500 13.000  18.000  26.000  14.460     4
S[3]       14.775  10.579  1.000  6.750 12.500  25.250  26.000   8.921     4
S[4]       16.575   9.432  1.000 11.750 18.500  23.750  26.000   5.995     4
S[5]       14.400   9.684  1.000  6.250 19.000  24.250  25.000   7.298     4
S[6]       15.375  10.317  1.000  5.000 20.500  25.250  26.000   2.261     6
S[7]       17.275  13.445  1.000  6.250 17.500  28.000  34.000 118.022     4
S[8]       13.775  13.900  1.000  1.000 12.500  26.000  39.000   6.261     4
S[9]       16.450  15.611  1.000  1.000 16.000  28.500  38.000   6.544     4
S[10]      14.025  11.337  1.000  1.000 12.500  25.250  26.000   3.922     4
S[11]      18.300  12.515  1.000  7.750 18.500  28.000  34.000   3.214     5
S[12]      16.650  11.016  5.000  8.000 11.000  31.000  34.000   3.084     5
S[13]       1.000   0.000  1.000  1.000  1.000   1.000   1.000   1.000     1
S[14]      21.550  11.031  1.000 15.000 25.000  27.250  34.000   2.152     6
beta[1]     0.263   0.462  0.000  0.000  0.000   0.221   1.149  18.005     4
beta[2]     0.000   0.000  0.000  0.000  0.000   0.000   0.000   1.000     1
beta[3]     0.000   0.000  0.000  0.000  0.000   0.000   0.000   1.000     1
beta[4]     0.000   0.000  0.000  0.000  0.000   0.000   0.000   1.000     1
beta[5]     0.167   0.294  0.000  0.000  0.000   0.143   0.752  12.623     4
beta[6]     0.000   0.000  0.000  0.000  0.000   0.000   0.000   1.000     1
beta[7]     0.000   0.000  0.000  0.000  0.000   0.000   0.000   1.000     1
beta[8]     0.006   0.026  0.000  0.000  0.000   0.000   0.100   1.358    21
beta[9]     0.000   0.000  0.000  0.000  0.000   0.000   0.000   1.000     1
beta[10]    0.097   0.183  0.000  0.000  0.000   0.037   0.491   3.898     4
beta[11]    0.000   0.000  0.000  0.000  0.000   0.000   0.000   1.000     1
beta[12]    0.096   0.293  0.000  0.000  0.000   0.000   0.976   1.574    10
beta[13]   -1.084   0.817 -2.095 -2.058 -0.527  -0.392  -0.287   2.838     5
beta[14]    0.000   0.000  0.000  0.000  0.000   0.000   0.000   1.000     1
gamma[1]    0.250   0.439  0.000  0.000  0.000   0.250   1.000   1.000     1
gamma[2]    0.000   0.000  0.000  0.000  0.000   0.000   0.000   1.000     1
gamma[3]    0.000   0.000  0.000  0.000  0.000   0.000   0.000   1.000     1
gamma[4]    0.000   0.000  0.000  0.000  0.000   0.000   0.000   1.000     1
gamma[5]    0.250   0.439  0.000  0.000  0.000   0.250   1.000   1.000     1
gamma[6]    0.000   0.000  0.000  0.000  0.000   0.000   0.000   1.000     1
gamma[7]    0.000   0.000  0.000  0.000  0.000   0.000   0.000   1.000     1
gamma[8]    0.050   0.221  0.000  0.000  0.000   0.000   1.000   1.362    20
gamma[9]    0.000   0.000  0.000  0.000  0.000   0.000   0.000   1.000     1
gamma[10]   0.250   0.439  0.000  0.000  0.000   0.250   1.000   1.000     1
gamma[11]   0.000   0.000  0.000  0.000  0.000   0.000   0.000   1.000     1
gamma[12]   0.100   0.304  0.000  0.000  0.000   0.000   1.000   1.578    10
gamma[13]   1.000   0.000  1.000  1.000  1.000   1.000   1.000   1.000     1
gamma[14]   0.000   0.000  0.000  0.000  0.000   0.000   0.000   1.000     1
theta[1]    0.254   0.933 -2.263 -0.068  0.441   0.998   1.178   1.590     9
theta[2]   -0.525   1.183 -2.263 -2.005 -0.271   0.401   1.376   1.983     6
theta[3]   -0.286   1.375 -2.263 -1.771  0.261   0.967   1.505   2.118     6
theta[4]   -0.173   0.965 -2.087 -0.556  0.073   0.464   1.463   1.847     7
theta[5]   -0.124   1.444 -2.139 -2.005  0.630   0.998   1.620   2.150     6
theta[6]   -0.218   1.147 -2.319 -0.706  0.215   0.504   1.156   1.292    13
theta[7]    0.177   1.114 -2.263 -0.488  0.312   0.967   2.276   2.121     6
theta[8]   -0.286   1.972 -2.095 -2.054 -0.506   0.438   4.803   1.916     6
theta[9]   -0.067   1.575 -2.091 -1.382 -0.070   0.521   2.710   4.076     4
theta[10]  -0.349   1.376 -2.090 -2.039  0.261   0.967   1.489   2.047     6
theta[11]  -0.064   1.317 -2.402 -0.875  0.194   0.622   2.276   2.484     5
theta[12]  -0.061   1.587 -2.626 -1.089  0.055   1.022   2.276   1.349    10
theta[13]  -1.084   0.817 -2.095 -2.058 -0.527  -0.392  -0.287   2.838     5
theta[14]   0.593   1.006 -1.006 -0.313  0.481   1.285   2.351   1.470     9
xi[1]      -1.084   0.817 -2.095 -2.058 -0.527  -0.392  -0.287   2.838     5
xi[2]      -2.039   0.970 -3.597 -2.750 -2.042  -1.599  -0.382   1.120    22
xi[3]      -1.903   0.928 -3.685 -2.382 -1.866  -1.413  -0.453   1.006    40
xi[4]      -1.817   1.402 -5.077 -2.731 -1.835  -1.161   0.563   1.093    32
xi[5]      -1.440   1.243 -4.162 -2.110 -1.431  -0.661   0.469   1.027    40
xi[6]      -1.215   1.359 -3.652 -2.028 -1.300  -0.708   1.694   1.067    40
xi[7]      -1.155   1.411 -4.835 -1.651 -1.296  -0.515   1.224   1.146    26
xi[8]      -0.951   1.553 -2.968 -1.853 -1.380  -0.086   1.177   1.104    38
xi[9]      -0.750   1.208 -2.679 -1.363 -0.981  -0.118   1.095   1.081    40
xi[10]     -0.813   1.268 -2.734 -1.409 -0.687  -0.180   1.390   1.051    40
xi[11]     -0.903   1.461 -3.809 -1.533 -0.854   0.018   1.791   1.082    40
xi[12]     -0.794   1.157 -3.148 -1.357 -0.633  -0.251   1.103   1.108    40
xi[13]     -0.610   1.354 -2.226 -1.419 -0.856  -0.411   2.706   1.047    40
xi[14]     -0.606   1.037 -2.262 -1.192 -0.744   0.010   0.831   1.032    40
xi[15]     -0.531   1.069 -3.248 -1.129 -0.299   0.009   1.176   1.013    40
xi[16]     -0.381   1.525 -2.941 -0.971 -0.466   0.231   3.563   1.095    25
xi[17]     -0.293   0.980 -1.582 -0.571 -0.200   0.209   1.376   1.152    34
xi[18]     -0.256   1.099 -2.129 -0.971 -0.377   0.241   2.180   0.996    40
xi[19]      0.148   0.991 -1.562 -0.397  0.199   0.663   2.010   1.206    19
xi[20]     -0.135   1.898 -2.499 -0.965 -0.369   0.587   3.586   1.126    40
xi[21]     -0.112   1.447 -2.776 -0.921  0.209   0.590   1.792   1.201    16
xi[22]      0.224   1.349 -1.934 -0.586  0.243   0.569   3.539   1.076    40
xi[23]      0.175   1.233 -1.926 -0.590  0.248   0.866   2.458   1.018    40
xi[24]      0.240   1.326 -2.203 -0.465  0.192   0.745   2.497   1.145    22
xi[25]      0.891   1.273 -0.885  0.259  0.978   1.132   3.519   1.149    40
xi[26]      1.015   1.362 -0.823  0.334  0.654   1.575   3.699   1.198    28
xi[27]      0.454   1.306 -2.541 -0.135  0.627   1.185   2.448   1.075    36
xi[28]      1.164   1.516 -1.075  0.444  0.837   1.729   4.726   1.122    28
xi[29]      0.840   1.065 -0.809  0.169  0.819   1.381   2.984   1.009    40
xi[30]      1.085   1.511 -1.769  0.523  1.167   1.610   3.837   1.090    36
xi[31]      1.265   1.437 -1.586  0.337  1.271   1.916   3.869   1.143    25
xi[32]      1.270   1.365 -1.604  0.630  1.283   1.779   3.794   1.160    20
xi[33]      1.655   1.556 -1.230  0.736  1.548   2.011   4.558   1.295    13
xi[34]      1.174   1.225 -1.059  0.208  1.408   2.129   2.883   1.016    40
xi[35]      1.789   1.467 -0.501  1.235  1.907   2.315   4.212   1.149    24
xi[36]      1.950   1.635 -0.477  1.099  1.843   2.416   5.401   1.110    40
xi[37]      2.401   1.796 -0.146  1.423  2.046   2.861   5.378   1.085    40
xi[38]      2.160   1.005  0.205  1.640  2.047   2.609   3.894   1.067    35
xi[39]      2.048   1.366 -0.371  1.504  2.012   2.530   5.484   1.045    40
deviance   77.492  46.091 32.407 39.537 45.568 132.588 134.422   3.135     5

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 248.5 and DIC = 326.0
DIC is an estimate of expected predictive error (lower deviance is better).



Inference for Bugs model at "curtis_ghosh_ordered.jags", fit using jags,
 4 chains, each with 60 iterations (first 10 discarded), n.thin = 5
 n.sims = 40 iterations saved
          mu.vect sd.vect   2.5%    25%    50%     75%   97.5%   Rhat n.eff
S[1]       13.600  12.543  1.000  4.000  9.000  15.000  35.000  1.420     9
S[2]       19.050  10.367  4.000 11.250 21.500  27.250  33.000  9.836     4
S[3]        8.950   6.156  1.000  4.750  9.000  12.000  18.175  1.886     6
S[4]       15.225  13.006  1.000  3.000  5.000  29.000  33.075  3.270     5
S[5]       21.325  11.639  1.000 14.000 21.500  30.500  35.000  2.440     5
S[6]       16.450   9.597  1.000 13.000 14.000  24.000  30.050  2.149     6
S[7]       15.900  10.193  1.000  8.750 15.000  25.000  31.025  3.695     5
S[8]       11.950  14.106  1.000  1.000  5.000  21.500  39.000  3.151     5
S[9]        9.325   5.126  1.000  5.250 11.000  14.000  15.000  4.693     4
S[10]      16.625   9.774  1.000  4.750 19.000  25.000  30.125  3.999     4
S[11]      13.650   3.498  4.000 13.000 14.000  15.500  17.000  1.681     8
S[12]      16.900  11.931  1.000  6.000 15.500  24.000  39.000  2.901     5
S[13]       1.000   0.000  1.000  1.000  1.000   1.000   1.000  1.000     1
S[14]      18.700  11.943  1.000 12.750 14.000  35.000  35.000  1.591     8
beta[1]     0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
beta[2]     0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
beta[3]     0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
beta[4]     0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
beta[5]     0.221   0.388  0.000  0.000  0.000   0.198   0.923 23.347     4
beta[6]     0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
beta[7]     0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
beta[8]     0.010   0.060  0.000  0.000  0.000   0.000   0.010  1.287    40
beta[9]     0.226   0.460  0.000  0.000  0.000   0.000   1.205  2.787     5
beta[10]    0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
beta[11]    0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
beta[12]    0.161   0.356  0.000  0.000  0.000   0.000   0.985  2.268     6
beta[13]   -1.045   0.799 -2.152 -2.073 -0.568  -0.413  -0.289  1.867     6
beta[14]    0.019   0.119  0.000  0.000  0.000   0.000   0.019  1.287    40
gamma[1]    0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
gamma[2]    0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
gamma[3]    0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
gamma[4]    0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
gamma[5]    0.250   0.439  0.000  0.000  0.000   0.250   1.000  1.000     1
gamma[6]    0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
gamma[7]    0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
gamma[8]    0.025   0.158  0.000  0.000  0.000   0.000   0.025  1.287    40
gamma[9]    0.200   0.405  0.000  0.000  0.000   0.000   1.000  2.826     5
gamma[10]   0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
gamma[11]   0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
gamma[12]   0.175   0.385  0.000  0.000  0.000   0.000   1.000  2.281     6
gamma[13]   1.000   0.000  1.000  1.000  1.000   1.000   1.000  1.000     1
gamma[14]   0.025   0.158  0.000  0.000  0.000   0.000   0.025  1.287    40
theta[1]   -0.948   2.490 -7.242 -1.988 -0.604   0.804   1.905  1.305    12
theta[2]    0.337   2.178 -3.190 -0.784  0.528   1.173   4.614  1.485     9
theta[3]   -1.018   2.353 -7.242 -2.141 -0.460   0.532   1.784  1.215    15
theta[4]   -0.159   3.464 -6.953 -2.089 -0.041   1.217   7.992  1.205    20
theta[5]    0.715   1.386 -1.890  0.056  0.906   1.294   3.529  1.192    17
theta[6]    0.784   2.533 -2.581 -0.507  0.771   0.981   7.992  1.457    10
theta[7]   -0.351   2.672 -5.336 -1.400 -0.015   0.912   4.614  1.217    14
theta[8]   -0.856   2.527 -7.242 -2.075 -0.589   0.485   4.271  1.418     9
theta[9]   -0.334   1.485 -3.386 -1.427 -0.002   0.914   1.205  1.620     8
theta[10]  -0.274   2.225 -5.336 -0.832  0.238   0.905   2.236  1.450    10
theta[11]  -0.143   1.469 -4.011 -1.188  0.532   0.921   1.280  1.253    15
theta[12]   0.332   2.874 -3.385 -1.241  0.683   0.929   8.542  1.363    14
theta[13]  -1.045   0.799 -2.152 -2.073 -0.568  -0.413  -0.289  1.867     6
theta[14]  -0.203   2.375 -5.096 -1.634  0.761   1.082   3.511  1.328    12
xi[1]      -1.045   0.799 -2.152 -2.073 -0.568  -0.413  -0.289  1.867     6
xi[2]      -1.554   2.226 -5.318 -3.002 -1.694  -0.525   2.997  1.038    40
xi[3]      -1.589   2.470 -5.190 -3.149 -2.217  -0.354   2.822  1.075    40
xi[4]      -2.001   2.091 -5.336 -2.964 -1.864  -1.021   1.848  1.047    40
xi[5]      -1.740   2.602 -7.245 -2.916 -1.891  -0.839   2.848  1.029    40
xi[6]      -1.958   1.970 -5.965 -3.129 -1.964  -0.831   1.800  1.120    19
xi[7]      -1.290   2.181 -6.098 -2.444 -1.405   0.099   2.889  1.050    40
xi[8]      -1.626   2.309 -5.696 -2.252 -1.666  -0.016   1.553  1.047    40
xi[9]      -0.518   1.562 -3.368 -1.873 -0.137   0.586   2.034  1.042    36
xi[10]     -1.185   1.874 -4.896 -2.320 -1.132  -0.224   2.617  0.993    40
xi[11]     -1.156   2.017 -4.696 -2.146 -1.150  -0.325   2.364  1.080    40
xi[12]     -1.091   2.200 -4.507 -1.810 -1.215   0.333   2.248  1.040    40
xi[13]     -0.286   2.340 -4.331 -1.270 -0.651   0.464   4.998  1.234    18
xi[14]      0.034   1.377 -2.927 -0.904  0.827   1.021   1.776  1.579     8
xi[15]     -0.625   1.855 -4.023 -1.748 -0.569   0.740   2.679  0.980    40
xi[16]     -0.300   2.179 -3.379 -1.326 -0.561   0.497   5.143  1.077    40
xi[17]      0.054   1.687 -3.067 -0.811  0.325   0.953   2.644  1.014    40
xi[18]     -0.398   2.044 -4.901 -1.501 -0.242   0.620   3.630  1.017    40
xi[19]     -0.956   1.846 -5.368 -1.864 -0.771   0.074   2.104  1.026    40
xi[20]     -0.628   1.775 -4.405 -1.238 -0.254   0.289   2.325  1.320    12
xi[21]      0.157   1.781 -2.800 -0.915 -0.216   1.161   4.356  1.012    40
xi[22]      0.063   2.004 -2.909 -0.781  0.242   1.436   3.701  1.039    40
xi[23]      0.435   2.733 -5.179 -0.481  0.419   1.130   4.779  1.106    40
xi[24]      0.901   1.687 -2.031 -0.030  0.615   1.788   4.000  1.068    30
xi[25]      0.184   2.224 -6.327 -0.518  0.350   1.442   3.122  1.211    27
xi[26]     -0.090   1.652 -3.342 -0.973  0.118   0.986   2.777  1.095    22
xi[27]      0.943   1.815 -3.081 -0.074  0.900   1.902   4.211  1.220    13
xi[28]      0.393   2.057 -3.945 -0.296  0.389   1.151   3.024  1.113    40
xi[29]      0.958   1.739 -1.950 -0.148  0.654   2.247   4.326  0.999    40
xi[30]      1.524   2.690 -2.662  0.518  1.372   2.574   7.992  1.253    15
xi[31]      1.003   2.555 -4.735  0.027  0.900   2.132   7.116  1.026    40
xi[32]      1.472   1.452 -1.541  0.741  1.307   2.401   4.269  0.998    40
xi[33]      0.897   2.930 -6.308 -0.356  1.200   2.561   4.368  1.123    40
xi[34]      1.455   1.922 -1.701  0.241  1.333   2.673   5.363  1.029    40
xi[35]      1.314   2.016 -3.441  0.572  1.565   2.438   4.524  0.988    40
xi[36]      1.774   3.100 -6.947  0.294  1.723   3.237   7.110  1.133    40
xi[37]      1.955   2.088 -0.579  0.804  1.723   3.073   5.739  1.168    20
xi[38]      1.840   2.209 -1.292  0.576  1.821   2.751   7.109  1.155    26
xi[39]      2.306   1.609 -0.573  1.378  2.407   3.173   4.352  1.113    39
deviance   79.047  42.579 38.107 44.104 56.006 134.126 137.246  2.125     6

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 402.4 and DIC = 481.4
DIC is an estimate of expected predictive error (lower deviance is better).



Inference for Bugs model at "curtis_ghosh_ordered.jags", fit using jags,
 4 chains, each with 60 iterations (first 10 discarded), n.thin = 5
 n.sims = 40 iterations saved
          mu.vect sd.vect   2.5%    25%    50%     75%   97.5%  Rhat n.eff
S[1]       23.150   7.587 15.000 18.000 22.000  26.000  38.000 4.845     4
S[2]       19.600   8.158  3.975 17.500 21.000  26.000  29.000 2.666     5
S[3]        5.625   5.587  1.000  1.000  4.000   8.000  18.025 2.228     6
S[4]       16.500  14.732  1.000  4.000 12.500  35.000  38.025 3.639     5
S[5]       10.275   8.638  1.000  3.000  4.000  18.000  25.000 2.325     5
S[6]       27.950   8.080 18.000 21.500 27.000  38.000  38.025 5.095     4
